#For superellipsoids (12 columns:rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3)
3.040675e-04	4.088452e-04	3.687929e-04	1.192593e+00	1.262809e+00	6.493845e-03	7.238907e-03	4.755523e-03	-5.910861e-01	6.078349e-02	4.493079e-01	-6.671169e-01
4.009110e-04	3.243743e-04	3.105249e-04	1.272444e+00	9.943934e-01	7.023966e-03	4.980780e-03	4.314694e-03	-8.878440e-01	-2.504023e-01	-5.684428e-02	-3.818383e-01
2.176962e-04	3.163683e-04	3.916185e-04	1.309911e+00	1.120501e+00	2.558768e-03	3.295237e-03	2.858373e-03	-3.245675e-01	-1.785424e-01	9.018233e-01	-2.224707e-01
3.568436e-04	2.683039e-04	2.460327e-04	6.722502e-01	9.913377e-01	2.026045e-03	4.128817e-03	3.265469e-03	4.675078e-01	5.149110e-01	-5.859032e-01	-4.159573e-01
4.459109e-04	2.508615e-04	2.344565e-04	7.492918e-01	1.339403e+00	5.851284e-03	5.111111e-03	6.536585e-03	-2.227377e-01	-1.159677e-01	5.848124e-01	7.713196e-01
2.006411e-04	2.926776e-04	4.027592e-04	1.589270e+00	1.480586e+00	4.385135e-03	6.776810e-03	4.072120e-03	9.088027e-01	1.267197e-01	3.748194e-01	-1.324015e-01
3.323808e-04	2.031072e-04	2.008065e-04	8.426341e-01	1.267603e+00	5.141729e-03	4.680691e-03	7.545176e-03	1.156795e-01	-8.529776e-01	-3.958249e-01	3.199532e-01
3.745349e-04	3.779970e-04	2.569171e-04	9.208887e-01	1.390216e+00	4.827433e-03	6.910678e-03	3.041243e-03	-7.336308e-01	1.066069e-01	6.198722e-01	-2.572532e-01
3.678087e-04	2.680129e-04	4.368602e-04	1.318105e+00	1.674873e+00	3.222357e-03	5.424747e-03	2.101198e-03	-1.699206e-01	-4.254499e-01	4.244319e-02	8.878727e-01
2.285318e-04	3.240452e-04	4.000035e-04	1.193322e+00	8.625854e-01	4.559299e-03	6.163312e-03	5.554555e-03	4.846311e-01	2.205712e-01	-8.003515e-01	2.755330e-01
2.084608e-04	2.919154e-04	3.910193e-04	7.754525e-01	1.308610e+00	5.817823e-03	5.544418e-03	4.017902e-03	-7.133897e-02	1.188808e-01	3.295382e-01	-9.339072e-01
3.481079e-04	2.960945e-04	3.337640e-04	6.847165e-01	8.891106e-01	6.628060e-03	4.685966e-03	2.490524e-03	-2.556032e-01	-1.523274e-01	-9.390912e-01	1.719625e-01
2.074071e-04	2.745702e-04	2.524515e-04	1.611951e+00	1.641194e+00	3.669502e-03	2.635776e-03	5.795686e-03	6.487590e-01	-1.668720e-02	7.600006e-01	3.510530e-02
2.448406e-04	3.874500e-04	2.334362e-04	1.280776e+00	1.688667e+00	6.519469e-03	5.419439e-03	5.956903e-03	6.290940e-01	-3.348238e-01	4.773092e-01	5.141106e-01
3.105460e-04	2.233355e-04	2.977687e-04	1.539677e+00	6.626532e-01	2.930671e-03	6.067823e-03	5.762844e-03	5.800809e-02	4.684414e-01	-3.120334e-01	-8.245198e-01
4.246663e-04	4.187604e-04	4.330708e-04	1.578362e+00	1.554013e+00	3.662551e-03	5.633405e-03	6.323105e-03	2.826382e-01	7.898264e-01	-4.331982e-01	3.295895e-01
3.092961e-04	2.559676e-04	2.273067e-04	1.586948e+00	1.471051e+00	4.584028e-03	4.725314e-03	1.989277e-03	-2.855055e-01	-8.661900e-01	-2.370022e-01	-3.347110e-01
2.488067e-04	3.249394e-04	4.431404e-04	1.142239e+00	8.076336e-01	3.404444e-03	2.132343e-03	6.195394e-03	4.198733e-01	-1.895382e-01	1.082396e-01	-8.809460e-01
3.933875e-04	2.381017e-04	2.959687e-04	1.035990e+00	9.414653e-01	6.522181e-03	4.196634e-03	5.712694e-03	3.311712e-01	-2.046687e-01	6.855292e-01	6.152122e-01
2.485311e-04	3.130805e-04	4.315732e-04	1.282156e+00	1.067426e+00	3.689949e-03	2.274677e-03	4.238289e-03	4.938906e-01	-4.707564e-01	6.312248e-01	3.688031e-01
